,장소,주차장수,면수,주차장수 대비 면수
129,서울특별시 강남구 신사동 압구정로14길 6 주변,11.0,951.0,86.45454545454545
130,서울특별시 강남구 논현2동 선릉로 부근,14.0,462.0,33.0
131,서울특별시 강남구 도곡동 언주로30길 13 주변,2.0,955.0,477.5
132,서울특별시 강남구 역삼동 648,31.0,2959.0,95.45161290322581
133,서울특별시 강남구 자곡동 596,0.0,0.0,0.0
134,서울특별시 강남구 삼성동 봉은사로 533 주변,5.0,2459.0,491.8
135,서울특별시 강남구 역삼동 826-37,25.0,2237.0,89.48
136,서울특별시 강남구 삼성동 봉은사로 469 주변,1.0,45.0,45.0
137,서울특별시 강남구 도곡동 언주로30길 56 주변,2.0,955.0,477.5
138,서울특별시 강남구 역삼동 봉은사로 226 주변,1.0,173.0,173.0
139,서울특별시 강남구 역삼동 역삼동 701-14 번지 주변,11.0,2516.0,228.72727272727272
140,서울특별시 강남구 청담동 도산대로57길 8 주변,2.0,56.0,28.0
141,서울특별시 강남구 논현동 도산대로 228 주변,11.0,1288.0,117.0909090909091
142,서울특별시 강남구 역삼동 테헤란로 329 주변,11.0,1646.0,149.63636363636363
143,서울특별시 강남구 세곡동 헌릉로570길 34 주변,1.0,45.0,45.0
144,서울특별시 강남구 압구정동 압구정로 321 주변,0.0,0.0,0.0
145,서울특별시 강남구 대치동 891-26,11.0,2781.0,252.8181818181818
146,서울특별시 강남구 수서동 수서동 590 주변,0.0,0.0,0.0
147,서울특별시 강남구 신사동 658-2,1.0,45.0,45.0
148,서울특별시 강남구 청담동 도산대로 521 주변,5.0,705.0,141.0
149,서울특별시 강남구 역삼동 653,1.0,173.0,173.0
150,서울특별시 강남구 청담동 학동로 609 주변,4.0,724.0,181.0
151,서울특별시 강남구 역삼동 역삼동666-2 주변,5.0,1972.0,394.4
152,서울특별시 강남구 신사동 도산대로 149 주변,10.0,346.0,34.6
153,서울특별시 강남구 신사동 강남대로 626 주변,14.0,420.0,30.0
154,서울특별시 강남구 일원동 일원로 53 주변,0.0,0.0,0.0
155,서울특별시 강남구 삼성동 테헤란로 409 주변,11.0,1826.0,166.0
156,서울특별시 강남구 대치동 영동대로 221 주변,0.0,0.0,0.0
157,서울특별시 강남구 삼성동 학동로 420 주변,5.0,860.0,172.0
158,서울특별시 강남구 수서동 수서동 208-6 주변,0.0,0.0,0.0
159,서울특별시 강남구 청담동 청담동 3 번지 주변,3.0,65.0,21.666666666666668
160,서울특별시 강남구 대치동 테헤란로114길 23 주변,9.0,2547.0,283.0
161,서울특별시 강남구 세곡동 헌릉로569 주변,1.0,45.0,45.0
162,서울특별시 강남구 도곡동 도곡동 527-5 주변,1.0,138.0,138.0
163,서울특별시 강남구 삼성동 삼성동 11-7 주변,4.0,294.0,73.5
164,서울특별시 강남구 논현1동 학동로 부근,14.0,517.0,36.92857142857143
165,서울특별시 강남구 신사동 632,6.0,554.0,92.33333333333333
166,서울특별시 강남구 수서동 736,0.0,0.0,0.0
167,서울특별시 강남구 청담동 도산대로 434 주변,3.0,76.0,25.333333333333332
168,서울특별시 강남구 역삼동 강남대로78길 35 주변,27.0,2820.0,104.44444444444444
169,서울특별시 강남구 삼성동 169,12.0,3349.0,279.0833333333333
170,서울특별시 강남구 대치동 테헤란로64길 19 주변,12.0,2975.0,247.91666666666666
171,서울특별시 강남구 삼성동 143-37,12.0,3011.0,250.91666666666666
172,서울특별시 강남구 논현동 논현동 211-14 번지 주변,8.0,916.0,114.5
173,서울특별시 강남구 개포동 195,0.0,0.0,0.0
174,서울특별시 강남구 삼성동 테헤란로87길 22 주변,10.0,4512.0,451.2
175,서울특별시 강남구 논현동 논현로 647 주변,7.0,430.0,61.42857142857143
176,서울특별시 강남구 압구정동 458,2.0,390.0,195.0
177,서울특별시 강남구 신사동 논현로 808 주변,8.0,1135.0,141.875
178,서울특별시 강남구 역삼동 역삼동 783-21 주변,2.0,757.0,378.5
179,서울특별시 강남구 압구정동 477,0.0,0.0,0.0
180,서울특별시 강남구 대치동 도곡로64길 21 주변,2.0,164.0,82.0
181,서울특별시 강남구 삼성동 삼성동 7-5 주변,10.0,1080.0,108.0
182,서울특별시 강남구 청담동 압구정로79길 32 주변,5.0,705.0,141.0
183,서울특별시 강남구 삼성동 143-8,13.0,5233.0,402.53846153846155
184,서울특별시 강남구 일원동 서울 강남구 일원동 703-3,0.0,0.0,0.0
185,서울특별시 강남구 청담동 영동대로138길 12 주변,5.0,823.0,164.6
186,서울특별시 강남구 삼성동 서울 강남구 삼성동 111-8,4.0,2327.0,581.75
187,서울특별시 강남구 신사동 657-28,1.0,45.0,45.0
188,서울특별시 강남구 논현동 40,11.0,548.0,49.81818181818182
189,서울특별시 강남구 역삼동 635-4,29.0,2870.0,98.96551724137932
190,서울특별시 강남구 수서동 716,0.0,0.0,0.0
191,서울특별시 강남구 역삼동 832-33,10.0,1120.0,112.0
192,서울특별시 강남구 논현동 논현동 211-14 주변,8.0,916.0,114.5
193,서울특별시 강남구 청담동 선릉로 828 주변,1.0,45.0,45.0
194,서울특별시 강남구 논현2동 언주로 부근,14.0,462.0,33.0
195,서울특별시 강남구 청담동 청담동 66 주변,5.0,796.0,159.2
196,서울특별시 강남구 대치동 남부순환로 2909 주변,0.0,0.0,0.0
197,서울특별시 강남구 대치동 1012-82,2.0,111.0,55.5
