,장소,주차장(1등급),주차장(2등급),주차장(3등급)
114,서울특별시 강남구 논현동 봉은사로37길 43 주변,0.0,0.0,9.0
115,서울특별시 강남구 대치동 도곡로78길 7 주변,1.0,1.0,4.0
116,서울특별시 강남구 논현동 학동로 156 주변,0.0,0.0,9.0
117,서울특별시 강남구 대치동 선릉로 312 주변,1.0,0.0,4.0
118,서울특별시 강남구 청담동 도산대로 429 주변,1.0,0.0,15.0
119,서울특별시 강남구 신사동 압구정로18길 28 주변,1.0,0.0,7.0
120,서울특별시 강남구 신사동 선릉로 801 주변,0.0,0.0,14.0
121,서울특별시 강남구 논현동 언주로133길 7 주변,0.0,0.0,9.0
122,서울특별시 강남구 신사동 도산대로 113 주변,0.0,0.0,4.0
123,서울특별시 강남구 삼성동 테헤란로87길 46 주변,0.0,1.0,12.0
124,서울특별시 강남구 신사동 도산대로25길 32 주변,1.0,0.0,10.0
125,서울특별시 강남구 수서동 188,0.0,0.0,0.0
126,서울특별시 강남구 역삼동 737,0.0,0.0,11.0
127,서울특별시 강남구 역삼동 강남대로 320 주변,0.0,0.0,1.0
128,서울특별시 강남구 논현동 강남대로146길 28 주변,0.0,0.0,5.0
129,서울특별시 강남구 신사동 압구정로14길 6 주변,1.0,0.0,6.0
130,서울특별시 강남구 논현2동 선릉로 부근,0.0,0.0,5.0
131,서울특별시 강남구 도곡동 언주로30길 13 주변,0.0,0.0,0.0
132,서울특별시 강남구 역삼동 648,0.0,0.0,15.0
133,서울특별시 강남구 자곡동 596,0.0,0.0,1.0
134,서울특별시 강남구 삼성동 봉은사로 533 주변,0.0,1.0,11.0
135,서울특별시 강남구 역삼동 826-37,0.0,0.0,4.0
136,서울특별시 강남구 삼성동 봉은사로 469 주변,0.0,0.0,7.0
137,서울특별시 강남구 도곡동 언주로30길 56 주변,0.0,0.0,0.0
138,서울특별시 강남구 역삼동 봉은사로 226 주변,0.0,0.0,7.0
139,서울특별시 강남구 역삼동 역삼동 701-14 번지 주변,0.0,0.0,4.0
140,서울특별시 강남구 청담동 도산대로57길 8 주변,0.0,0.0,14.0
141,서울특별시 강남구 논현동 도산대로 228 주변,0.0,0.0,10.0
142,서울특별시 강남구 역삼동 테헤란로 329 주변,0.0,0.0,5.0
143,서울특별시 강남구 세곡동 헌릉로570길 34 주변,0.0,0.0,0.0
144,서울특별시 강남구 압구정동 압구정로 321 주변,0.0,0.0,6.0
145,서울특별시 강남구 대치동 891-26,0.0,1.0,10.0
146,서울특별시 강남구 수서동 수서동 590 주변,0.0,0.0,0.0
147,서울특별시 강남구 신사동 658-2,0.0,0.0,14.0
148,서울특별시 강남구 청담동 도산대로 521 주변,0.0,1.0,5.0
149,서울특별시 강남구 역삼동 653,0.0,0.0,5.0
150,서울특별시 강남구 청담동 학동로 609 주변,0.0,0.0,0.0
151,서울특별시 강남구 역삼동 역삼동666-2 주변,0.0,0.0,14.0
152,서울특별시 강남구 신사동 도산대로 149 주변,0.0,0.0,8.0
153,서울특별시 강남구 신사동 강남대로 626 주변,0.0,0.0,5.0
154,서울특별시 강남구 일원동 일원로 53 주변,1.0,1.0,0.0
155,서울특별시 강남구 삼성동 테헤란로 409 주변,0.0,1.0,6.0
156,서울특별시 강남구 대치동 영동대로 221 주변,0.0,1.0,4.0
157,서울특별시 강남구 삼성동 학동로 420 주변,1.0,0.0,3.0
158,서울특별시 강남구 수서동 수서동 208-6 주변,1.0,1.0,0.0
159,서울특별시 강남구 청담동 청담동 3 번지 주변,1.0,0.0,13.0
160,서울특별시 강남구 대치동 테헤란로114길 23 주변,0.0,2.0,7.0
161,서울특별시 강남구 세곡동 헌릉로569 주변,0.0,0.0,0.0
162,서울특별시 강남구 도곡동 도곡동 527-5 주변,0.0,0.0,4.0
163,서울특별시 강남구 삼성동 삼성동 11-7 주변,0.0,0.0,2.0
164,서울특별시 강남구 논현1동 학동로 부근,0.0,0.0,4.0
165,서울특별시 강남구 신사동 632,0.0,0.0,13.0
166,서울특별시 강남구 수서동 736,1.0,1.0,0.0
167,서울특별시 강남구 청담동 도산대로 434 주변,1.0,1.0,15.0
168,서울특별시 강남구 역삼동 강남대로78길 35 주변,0.0,0.0,4.0
169,서울특별시 강남구 삼성동 169,1.0,2.0,10.0
170,서울특별시 강남구 대치동 테헤란로64길 19 주변,0.0,1.0,8.0
171,서울특별시 강남구 삼성동 143-37,0.0,1.0,12.0
172,서울특별시 강남구 논현동 논현동 211-14 번지 주변,0.0,0.0,9.0
173,서울특별시 강남구 개포동 195,0.0,2.0,4.0
174,서울특별시 강남구 삼성동 테헤란로87길 22 주변,0.0,1.0,11.0
175,서울특별시 강남구 논현동 논현로 647 주변,0.0,0.0,12.0
176,서울특별시 강남구 압구정동 458,0.0,1.0,12.0
177,서울특별시 강남구 신사동 논현로 808 주변,1.0,0.0,10.0
178,서울특별시 강남구 역삼동 역삼동 783-21 주변,0.0,0.0,3.0
179,서울특별시 강남구 압구정동 477,0.0,1.0,6.0
180,서울특별시 강남구 대치동 도곡로64길 21 주변,1.0,1.0,4.0
181,서울특별시 강남구 삼성동 삼성동 7-5 주변,1.0,0.0,4.0
182,서울특별시 강남구 청담동 압구정로79길 32 주변,0.0,1.0,5.0
183,서울특별시 강남구 삼성동 143-8,0.0,1.0,12.0
184,서울특별시 강남구 일원동 서울 강남구 일원동 703-3,0.0,0.0,2.0
185,서울특별시 강남구 청담동 영동대로138길 12 주변,0.0,0.0,1.0
186,서울특별시 강남구 삼성동 서울 강남구 삼성동 111-8,0.0,1.0,7.0
187,서울특별시 강남구 신사동 657-28,0.0,0.0,12.0
188,서울특별시 강남구 논현동 40,0.0,0.0,7.0
189,서울특별시 강남구 역삼동 635-4,0.0,0.0,15.0
190,서울특별시 강남구 수서동 716,1.0,1.0,0.0
191,서울특별시 강남구 역삼동 832-33,0.0,0.0,2.0
192,서울특별시 강남구 논현동 논현동 211-14 주변,0.0,0.0,9.0
193,서울특별시 강남구 청담동 선릉로 828 주변,0.0,0.0,14.0
194,서울특별시 강남구 논현2동 언주로 부근,0.0,0.0,5.0
195,서울특별시 강남구 청담동 청담동 66 주변,0.0,1.0,3.0
196,서울특별시 강남구 대치동 남부순환로 2909 주변,0.0,1.0,2.0
197,서울특별시 강남구 대치동 1012-82,0.0,1.0,6.0
198,서울특별시 강남구 청담동 서울 강남구 청담동 77-56,1.0,1.0,4.0
199,서울특별시 강남구 대치동 891-23,0.0,1.0,10.0
200,서울특별시 강남구 압구정동 440,0.0,1.0,6.0
201,서울특별시 강남구 대치동 삼성로 417 주변,0.0,1.0,10.0
202,서울특별시 강남구 논현동 152-5,0.0,0.0,12.0
