,주차장명,주소,총 주차면,위도,경도
166,한신인터밸리24 부설주차장,강남구 역삼동 707-34,306,37.503206,127.0465684
167,현대백화점 무역점,강남구 삼성동 159-7,594,37.5086154,127.0597808
168,현대백화점 압구정 본점,강남구 압구정동 429-0,325,37.5273268,127.0274265
169,현대스위스타워 부설주차장,강남구 삼성동 143-40,95,37.5063317,127.0536271
170,현대타워 부설주차장,강남구 삼성동 143-37,151,37.5061783,127.053033
171,현대해상 빌딩 부설주차장,강남구 역삼동 646-0,145,37.500279,127.0339966
172,형제빌딩 주차장,강남구 역삼동 826-0,19,37.4961931,127.0288777
173,혜림빌딩 주차장,강남구 논현동 158-0,34,37.510041,127.027186
174,혜성빌딩 주차장,강남구 논현동 89-0,30,37.5152747,127.0330568
175,호은빌딩 주차장,강남구 논현동 143-16,22,37.5090789,127.0229546
176,호텔더디자이너스리즈강남 주차장,강남구 논현동 201-4,90,37.5052889,127.0258825
177,화인빌딩 주차장,강남구 신사동 528-4,24,37.5229557,127.0208697
178,화인타워 부설주차장,강남구 역삼동 826-24,70,37.4959964,127.0290566
179,흥국생명빌딩 주차장,강남구 역삼동 814-5,89,37.5021078,127.0261636
