,주소,주차장명,위도,경도,총주차면,분당기본요금,주차장등급
103,도산대로 423 ~ 도산대로 407,도산대로,37.5236725,127.0402442,9,73.28,3
104,도산대로 434 ~ 도산대로 442,도산대로,37.523032,127.0433759,6,73.28,3
105,삼성동 75 ~ 봉은사로 503,봉은사로,37.5134585,127.053786,14,73.28,3
106,삼성로 563 ~ 삼성로 521,삼성로,37.5116802,127.053606,27,73.28,3
107,삼성로 508 ~ 삼성로 566,삼성로,37.507737,127.0566203,38,73.28,3
108,삼성로 710 ~ 삼성로 772,삼성로,37.5195296,127.0501753,33,73.28,3
109,삼성로 29,삼성로,37.486824,127.0660933,9,73.28,3
110,테헤란로 440,삼성로,37.5045703,127.0494465,6,73.28,3
111,삼성로 221 ~ 삼성로 203,삼성로,37.4966641,127.0617378,12,73.28,3
112,언주로 869 ~ 언주로 805,언주로,37.5281551,127.0332741,40,73.28,3
113,개포로 303,언주로,37.4825481,127.0544891,6,73.28,3
114,개포동 656,언주로,37.4785609,127.0542624,12,73.28,3
115,언주로 871 ~ 도산대로 239,언주로,37.5283983,127.0332539,5,73.28,3
116,언주로 647 ~ 언주로 605,언주로,37.5143077,127.0349142,41,73.28,3
117,일원동 703-3 ~ 일원동 703-2,영동대로,37.4884611,127.0744362,20,73.28,3
118,학동로 215 ~ 학동로 201,학동로,37.5143096,127.0309641,13,73.28,3
119,강남구 압구정동 428-0,압구정 428 공영주차장(구),37.5269745,127.0264423,344,80.0,3
120,강남구 역삼동 829-20,역삼1문화센터 공영주차장(구),37.495188,127.0332163,118,80.0,3
121,강남구 삼성동 161-2,삼성1문화센터 공영주차장(구),37.5143821,127.062611,70,80.0,3
122,강남구 역삼동 795-25,도곡로21길 7 공영주차장(구),37.4925507,127.0388536,75,80.0,3
123,강남구 일원동 722-1,일원터널 공영주차장(시),37.4828103,127.07936,11,26.0,3
124,강남구 역삼동 635-0,역삼문화공원 공영주차장(구),37.5022555,127.030309,59,60.0,3
125,강남구 신사동 564-0,도산대로25길 32 공영주차장(구),37.5217076,127.0266307,26,80.0,3
126,강남구 삼성동 111-57,공유) 151-100(구),37.5182042,127.0558019,20,73.28,3
127,강남구 신사동 668-46 도산공원 앞길,도산대로45길(구),37.5236188,127.0340985,47,80.0,3
128,강남구 대치동 1011-19,테헤란로64길(구),37.5033393,127.0510376,12,80.0,3
129,강남구 청담동 77-27,선릉로146길(구),37.5222503,127.0414141,33,80.0,3
130,강남구 청담동 77-84,선릉로132길(구),37.518209,127.0426287,17,80.0,3
131,강남구 대치동 1012-15,영동대로85길(구),37.5069104,127.0582752,95,80.0,3
132,강남구 대치동 600-13,남부순환로397길(구),37.4940827,127.0603826,33,60.0,3
133,강남구 대치동 507-3,대치동507-3(구),37.4933047,127.0626065,27,60.0,3
134,강남구 신사동 668-11,언주로171길(구),37.528097,127.0324432,29,80.0,3
135,강남구 신사동 668-0,압구정고가1 공영주차장(시),37.5235264,127.0283255,19,100.0,3
136,강남구 압구정동 435-0,동호대교(남) 공영주차장(시),37.5270956,127.0283459,18,34.0,3
137,강남구 신사동 668-0,압구정고가2 공영주차장(시),37.5235264,127.0283255,19,100.0,3
138,강남구 일원동 709-9,일원동맛의거리(구),37.4913146,127.0873851,27,20.0,3
139,강남구 역삼동 803-8,테헤란로26길(구),37.4992902,127.0361627,12,80.0,3
140,강남구 대치동 316-0,은마아파트(구),37.4974576,127.0653265,59,60.0,3
141,강남구 논현동 279-99 학동역7번출구윗길,논현로131길(구),37.5141581,127.0287535,22,80.0,3
142,강남구 대치동 512-1,영동6교밑 공영주차장(시),37.4949066,127.0703375,39,52.0,3
143,강남구 삼성동 172-99 선정릉입구 앞길,테헤란로69길(구),37.5070686,127.0519441,22,80.0,3
144,강남구 논현동 279-22 언북중학교 뒷길,언주로147길(구),37.5195359,127.0325278,17,80.0,3
145,강남구 논현동 280-1,강남대로150길(구),37.5161842,127.0208496,7,80.0,3
146,강남구 도곡동 516-2,논현로32길15 공영주차장(구),37.4842134,127.0434256,16,60.0,3
147,강남구 대치동 939-21,도곡로 421 공영주차장(구),37.4976419,127.0564374,27,80.0,3
148,강남구 역삼동 765-22,도곡로 327 공영주차장(구),37.4961196,127.0516514,17,80.0,3
149,강남구 삼성동 113-26,강남치매지원센터 공영주차장(구),37.5102696,127.0463836,115,80.0,3
150,강남구 대치동 1011-6 포스코 센터 옆길,테헤란로78길(구),37.5058645,127.0562396,10,80.0,3
151,강남구 대치동 1012-22 삼성역 2번출구 아랫길,영동대로86길(구),37.5073873,127.0655646,16,80.0,3
152,강남구 일원동 733,광평로,37.4830142,127.0818201,31,73.28,3
153,강남구 논현로 209,논현로,37.4887779,127.0408333,22,73.28,3
154,강남구 논현로 205,논현로,37.4956175,127.0394905,21,73.28,3
155,강남구 논현로 609,논현로,37.5079685,127.0331103,22,73.28,3
156,강남구 논현로1길 21,논현로,37.4707065,127.0489506,15,73.28,3
157,강남구 압구정동 462,논현로190길,37.5324077,127.0305942,31,73.28,3
158,강남구 압구정동 369-1,논현로190길,37.5328218,127.0280273,33,73.28,3
159,강남구 도산대로 336,도산대로,37.5225859,127.0389209,19,73.28,3
160,강남구 407,도산대로,37.5172363,127.0473248,9,73.28,3
161,강남구 도산대로 442,도산대로,37.5232858,127.0441159,6,73.28,3
162,강남구 봉은사로 503,봉은사로,37.5134585,127.053786,14,73.28,3
163,강남구 삼성로 566,삼성로,37.5121208,127.0543956,38,73.28,3
164,강남구 삼성로 521,삼성로,37.5085074,127.0551651,27,73.28,3
165,강남구 삼성로 772,삼성로,37.5235471,127.0480145,33,73.28,3
166,강남구 삼성로 29,삼성로,37.486824,127.0660933,9,73.28,3
167,강남구 테헤란로 440,삼성로,37.5057406,127.056107,6,73.28,3
168,강남구 삼성로 203,삼성로,37.5027999,127.0590717,12,73.28,3
169,강남구 언주로 805,언주로,37.5221163,127.0331574,40,73.28,3
170,강남구 개포로 303,언주로,37.4825481,127.0544891,6,73.28,3
171,강남구 개포동 656,언주로,37.4785609,127.0542624,12,73.28,3
172,강남구 도산대로 239,언주로,37.5216417,127.033297,5,73.28,3
173,강남구 언주로 605,언주로,37.5093304,127.0372438,41,73.28,3
174,강남구 일원동 703-2, 영동대로,37.4884611,127.0744362,20,73.28,3
175,강남구 테헤란로 401,테헤란로,37.5049305,127.0491309,27,73.28,3
176,강남구 학동로 201,학동로,37.5143096,127.0309641,13,73.28,3
177,강남구 개포동 1273-0,포이초교 공영주차장(구),37.4756728,127.0520896,194,40.0,1
178,강남구 청담동 27-0,언북초교 공영주차장(구),37.5199257,127.0451,225,60.0,1
179,강남구 논현동 168-0,논현초교 공영주차장(구),37.5081699,127.0260317,192,60.0,1
180,강남구 도곡동 922-0,언주초 공영주차장(구),37.4862841,127.0367809,191,40.0,1
181,강남구 일원동 4-49,탄천제2호 공영주차장(구),37.4939898,127.0873808,322,20.0,1
182,강남구 일원동 617-0,영희초교 공영주차장(구),37.4922499,127.0808759,186,20.0,1
183,강남구 대치동 924-10,도곡초 공영주차장(구),37.4993211,127.054928,200,60.0,1
184,강남구 신사동 550-11,신구초 공영주차장(구),37.5233603,127.0240264,185,60.0,1
185,강남구 율현동 101-10,헌릉로745길(구),37.4693694,127.1181313,244,60.0,1
186,강남구 삼성동 171-0,탄천공영주차장(구),37.5140821,127.0664777,924,20.0,1
187,강남구 수서동 735-0,수서역북 공영주차장(시),37.4879705,127.0999152,568,64.0,1
188,강남구 삼성동 144-2,현대블루핸즈 주차장(민영),37.5075882,127.0545794,60,66.67,2
189,강남구 대치동 623,GS타임즈대치동주차장(민영),37.493456,127.0597594,63,66.67,2
190,강남구 청담동 49-3,강남구 민자유치 청담주차장(민영),37.5236727,127.0486148,84,60.0,2
191,강남구 대치동 952-2,더블유타워 주차장(민영),37.5049314,127.0636815,109,66.67,2
192,강남구 세곡동 21-5,세곡주차장(민영),37.4656049,127.118631,77,25.0,2
193,염곡동 305-1 ~ 개포동 569-8,양재대로,37.4785731,127.0642807,71,73.28,2
194,강남구 개포동 1266-0,논현로22길(시),37.4815135,127.0485164,97,40.0,2
195,강남구 대치동 514-1,학여울 공영주차장(시),37.4970066,127.0723618,180,52.0,2
196,강남구 수서동 727-0,수서역남 공영주차장(시),37.4868152,127.1010802,69,64.0,2
197,강남구 삼성동 172-7,영동대로106길(구),37.5140462,127.063993,63,60.0,2
198,강남구 압구정동 453-0,압구정로29길(구),37.5296809,127.027827,140,40.0,2
199,강남구 도곡동 524-0,논현로28길(구),37.48317,127.044097,70,60.0,2
200,강남구 삼성동 172-41,영동대로96길(구),37.5114416,127.0653987,81,60.0,2
201,강남구 대치동 78-29,대치유수지(구),37.5052317,127.0681567,99,40.0,2
202,강남구 개포동 186-7,개포주공5단지북측(구),37.4888556,127.0685648,64,60.0,2
203,강남구 율현동 77-5,밤고개로21길 공영주차장(구),37.4735007,127.1143801,109,20.0,2
204,강남구 세곡동 517-0,대왕초 공영주차장(구),37.4692712,127.1073203,100,20.0,2
205,강남구 대치동 980-9,대치2문화센터 공영주차장(구),37.5022464,127.0641595,159,60.0,2
206,강남구 개포동 126-2,구룡산제2호(구),37.4772153,127.0664481,132,40.0,2
207,강남구 일원동 716-2,일원역 공영주차장(시),37.4846435,127.084056,67,34.0,2
208,강남구 개포동 183-2,개포동공원 공영주차장(구),37.489447,127.0662099,149,40.0,2
209,강남구 개포동 13-2,대청역 공영주차장(구),37.4949109,127.0792884,168,20.0,2
210,강남구 개포동 567-23,구룡산제1호(구),37.4775658,127.0664494,92,40.0,2
211,강남구 일원동 684-8,일원1동(기계식)(구),37.4895276,127.0817811,68,20.0,2
212,강남구 개포동 569-8,양재대로,37.4785731,127.0642807,71,73.28,2
